Overzicht Kandidaatgegevens;;;;;;;;;;;;;
Verkiezing: Tweede Kamer der Staten-Generaal 2021 2021;;;;;;;;;;;;;
;;;;;;;;;;;;;
Kieskring;Lijstnummer;Politieke Groepering;Type;Publiceer geslacht;Taal;Nr.;Tussenvoegsel;Achternaam;Voorletters;Roepnaam;Geslacht;Woonplaats;Land
alle;1;VVD;stel gelijkluidende lijsten;ja;nl;1;;Rutte;M.;Mark;m;'s-Gravenhage;NL
alle;1;VVD;stel gelijkluidende lijsten;ja;nl;2;van;Ark;T.;Tamara;v;Nieuwerkerk aan den IJssel;NL
alle;1;VVD;stel gelijkluidende lijsten;ja;nl;3;;Hermans;S.T.M.;Sophie;v;Amsterdam;NL
alle;1;VVD;stel gelijkluidende lijsten;ja;nl;4;;Becker;B.;Bente;v;'s-Gravenhage;NL
alle;1;VVD;stel gelijkluidende lijsten;ja;nl;5;;Yeşilgöz-Zegerius;D.;Dilan;v;Amsterdam;NL
alle;1;VVD;stel gelijkluidende lijsten;ja;nl;6;van 't;Wout;B.;Bas;m;Hoeven;NL
alle;1;VVD;stel gelijkluidende lijsten;ja;nl;7;;Harbers;M.G.J.;Mark;m;Rotterdam;NL
alle;1;VVD;stel gelijkluidende lijsten;ja;nl;8;de;Vries;A.;Aukje;v;Leeuwarden;NL
alle;1;VVD;stel gelijkluidende lijsten;ja;nl;9;;Wiersma;A.D.;Dennis;m;Utrecht;NL
alle;1;VVD;stel gelijkluidende lijsten;ja;nl;10;;Tellegen;O.C.;Ockje;v;'s-Gravenhage;NL
alle;1;VVD;stel gelijkluidende lijsten;ja;nl;11;;Aartsen;A.A.;Thierry;m;Breda;NL
alle;1;VVD;stel gelijkluidende lijsten;ja;nl;12;;Heinen;E.;Eelco;m;'s-Gravenhage;NL
alle;1;VVD;stel gelijkluidende lijsten;ja;nl;13;;Rajkowski;Q.M.;Queeny-Aimée;v;Utrecht;NL
alle;1;VVD;stel gelijkluidende lijsten;ja;nl;14;;Kamminga;R.J.;Roelien;v;Groningen;NL
