Kieskring;Lijstnummer;Politieke Groepering;Type;Publiceer geslacht;Taal;Nr.;Tussenvoegsel;Achternaam;Voorletters;Roepnaam;Geslacht;Woonplaats;Land
alle;1;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;1;;Wilders;G.;Geert;m;'s-Gravenhage;NL
alle;1;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;2;;Stöteler;T.S.M.;Sebastiaan;m;Almelo;NL
alle;1;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;3;;Schilder;J.M.M.;Shanna;v;Volendam;NL
alle;1;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;4;;Lammers;A.N.;Annelotte;v;Genemuiden;NL
alle;1;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;5;;Markuszower;G.;Gidi;m;Amsterdam;NL
alle;1;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;6;;Bosma;M.;Martin;m;Amsterdam;NL
alle;1;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;7;;Claassen;R.A.B.;René;m;Landgraaf;NL
alle;1;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;8;van;Dijck;A.P.C.;Tony;m;Amsterdam;NL
alle;1;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;9;;Faber;M.H.M.;Marjolein;v;Hoevelaken;NL
alle;1;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;10;;Maeijer;V.;Vicky;v;Krimpen aan den IJssel;NL
alle;1;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;11;;Mulder;E.;Edgar;m;Zwolle;NL
alle;1;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;12;;Kops;A.;Alexander;m;Overasselt;NL
alle;1;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;13;;Vlottes;E.;Elmar;m;Apeldoorn;NL
alle;1;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;14;;Vondeling;M.;Marina;v;Rhoon;NL
alle;1;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;15;;Heutink;H.D.;Hidde;m;Overdinkel;NL
alle;1;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;16;;Mooiman;J.;Jeremy;m;Zoetermeer;NL
alle;1;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;17;;Moinat;N.;Nicole;v;Purmerend;NL
alle;1;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;18;;Graus;D.J.G.;Dion;m;Heerlen;NL
alle;1;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;19;van;Dijk;E.;Emiel;m;'s-Gravenhage;NL
alle;1;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;20;ten;Hove;T.;Tamara;v;Emst;NL
alle;1;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;21;;Prickaertz;E.C.;Erwin;m;Dordrecht;NL
alle;1;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;22;de;Roon;R.;Raymond;m;Aardenburg;NL
alle;1;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;23;;Boon;M.C.H.;Maikel;m;Bergen op Zoom;NL
alle;1;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;24;;Raijer;A.J.;Annette;v;Almere;NL
alle;1;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;25;van;Meetelen;R.F.;Rachel;v;Bergen op Zoom;NL
alle;1;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;26;;Jansen;C.A.;Chris;m;Almere;NL
alle;1;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;27;;Aardema;M.;Max;m;Drachten;NL
alle;1;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;28;;Deen;M.;Marco;m;Zandvoort;NL
alle;1;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;29;;Nijhof-Leeuw;J.M.;Jeanet;v;Hengelo (O);NL
alle;1;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;30;de;Vree;J.H.;Henk;m;Hardinxveld-Giessendam;NL
alle;1;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;31;;Pool;J.;Joeri;m;Kampen;NL
alle;1;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;32;van der;Hoeff;P.H.;Patrick;m;Philippine;NL
alle;1;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;33;;Ram;D.;Dennis;m;Groningen;NL
alle;1;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;34;;Crijns;P.P.;Patrick;m;Landgraaf;NL
alle;1;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;35;;Smitskam;P.;Peter;m;Zoetermeer;NL
alle;1;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;36;;Boutkan;W.;Willem;m;Almere;NL
alle;1;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;37;;Thiadens;F.M.;Folkert;m;Zevenhuizen;NL
alle;1;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;38;;Blaauw;R.B.;Reinder;m;Winschoten;NL
alle;1;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;39;;Valize;J.J.T.M.;Jan;m;Venlo;NL
alle;1;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;40;;Faddegon;C.J.;Chris;m;'s-Gravenhage;NL
alle;1;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;41;;Clermonts;C.N.L.;Canice;v;'s-Gravenhage;NL
alle;1;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;42;;Uppelschoten;N.A.;Nico;m;Eelde;NL
alle;1;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;43;van;Haasen;J.P.;Peter;m;Zaandam;NL
alle;1;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;44;;Esser;E.R.F.;Eric;m;'s-Hertogenbosch;NL
alle;1;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;45;;Rep;R.J.H.H.;Robert;m;Ter Apel;NL
alle;1;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;46;;Riezebos;C.H.;Cees;m;Hindeloopen;NL
alle;1;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;47;;Grobben;S.M.;Sylvia;v;Delft;NL
alle;1;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;48;;Megens;B.J.M.H.;Bart;m;Bergen (L);NL
alle;1;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;49;;Ubaghs;W.J.;Wim;m;Maarssen;NL
alle;1;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;50;;Blömer;A.G.A.;Alberto;m;Enschede;NL
alle;1;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;51;;Verbaarschot-Hendriks;M.;Anita;v;Andel;NL
alle;1;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;52;de;Graaf;J.L.;Job;m;Enschede;NL
alle;1;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;53;;Feeburg;F.;Frank;m;Julianadorp;NL
alle;1;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;54;;Ritzen;S.A.G.;Serge;m;Landgraaf;NL
alle;1;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;55;de;Moel;D.;Daniël;m;Vijfhuizen;NL
alle;1;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;56;de;Boer;P.;Pieter;m;Urk;NL
alle;1;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;57;;Ahrens;J.;Jeroen;m;Vriezenveen;NL
alle;1;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;58;;Roos;B.M.;Bjorn;m;Hellevoetsluis;NL
alle;1;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;59;;Smits;S.;Stefan;m;Zoetermeer;NL
alle;1;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;60;;Casteleijn;A.A.A.;Alexander;m;Katwijk;NL
alle;1;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;61;van;Bijnen;H.M.;Roel;m;Ulestraten;NL
alle;1;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;62;van;Valderen;P.;Peter;m;Philippine;NL
alle;1;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;63;de;Vries;M.;Menno;m;Arum;NL
