50PLUS,1,Jan Struijs,M,,,,,,
50PLUS,2,Corrie van Brenk-van Barneveld,V,,https://www.linkedin.com/in/cvanbrenk/,https://x.com/cvanbrenk?lang=en,,https://www.facebook.com/corrie.vanbarnevelf,
50PLUS,3,Martine Baay-Timmerman,V,,,,,,
50PLUS,4,Henk van Tilborg,M,,,,,,
50PLUS,5,Ruud van Acquoij,M,,,,,,
50PLUS,6,Wilma van den Heuvel,V,,https://www.linkedin.com/in/wilma-berkhout-89a8653b/,,,,
50PLUS,7,Anne Marie Fischer,V,,,,,https://www.facebook.com/annemarie.fischer.75,
50PLUS,8,Anneke van der Helm-Chandansingh,V,https://annekevanderhelm.nl/,https://nl.linkedin.com/in/annekevanderhelm,,https://www.instagram.com/annekevanderhelm5990?igsh=MWNmc2trY3NrYm9pcA==,,
50PLUS,9,Anton van Straten,M,,,,,,
50PLUS,10,Bennie van Est,M,,,,,,
50PLUS,11,Alfons Leerkes,M,,,,,,
50PLUS,12,Jaap Engel,M,,,,,,
50PLUS,13,Jan Frans Brouwers,M,,,,,,
50PLUS,14,Jan van der Starre,M,,,,,,
50PLUS,15,Marita van Lierop-van Leuken,V,,,,,https://www.facebook.com/marita.vanlierop,
50PLUS,16,Marinus Kasteleijn,M,,,,,,
50PLUS,17,Mieke Hoek,V,,,https://x.com/miekehoek?lang=en,,,
50PLUS,18,Adriana Hernández Martínez,V,,,,,https://www.facebook.com/50PLUSPartijAdrianaHernandez/?locale=ka_GE,
50PLUS,19,Chris Veeze,M,,,,,,
50PLUS,20,Herman Nota,M,,,,,,
50PLUS,21,Nico de Vos,M,,,,,,
50PLUS,22,Jolanda van den Bogaard,V,,https://www.linkedin.com/in/jolandavandenbogaard/,,,https://www.facebook.com/JolandavdBogaard/,
50PLUS,23,John van Loon,M,,,,,,
50PLUS,24,Sjanie Donker,V,,,,,,
50PLUS,25,Edmond van Ooijen,M,,,,,,
50PLUS,26,Klaas Hamersma,M,,,,,,
50PLUS,27,Ab Wissingh,M,,,,,,
50PLUS,28,Frank de Kruif-Vlasman,M,,,,,,
50PLUS,29,Cor Verbeek,M,,,,,,
50PLUS,30,Jan van Gorkum,M,,,,,,
50PLUS,31,Frans Erkamp,M,,,,,,
50PLUS,32,Willem Willemse,M,,,,,,
50PLUS,33,Willem Bakx,M,,,,,,
50PLUS,34,André Verschoor,M,,,,,,
50PLUS,35,Peter Jong,M,,,,,,
50PLUS,36,Emiel Sjaardema,M,,,,,,
50PLUS,37,Geert Tomlow,M,,,,,,
50PLUS,38,Joke Bouwmeester,V,,https://www.linkedin.com/in/joke-bouwmeester-9a5a2983/,,,,
50PLUS,39,Louis van Houtert,M,,,,,,
50PLUS,40,Jan van Hoek,M,,,,,,
50PLUS,41,Agnes Timmers-van Dijk,V,,,,,,
50PLUS,42,Annemieke Guldemond,V,,https://www.linkedin.com/in/annemieke-guldemond/,,,https://www.facebook.com/annemieke.guldemond,
50PLUS,43,Joost Boetes,M,,,,,,
50PLUS,44,Henk Denissen,M,,,,,,
50PLUS,45,Robert Biever,M,,,,,,
50PLUS,46,Henk van Elst,M,,,,,,
50PLUS,47,Marc van Rooij,M,,,,,,
50PLUS,48,Gerrit Jan van Otterloo,M,,,,,,
50PLUS,49,Willem Dekker,M,,,,,,
50PLUS,50,Martin van Rooijen,M,,,,,,
BBB,1,Caroline van der Plas,V,https://boerburgerbeweging.nl/kandidaten/caroline-van-der-plas/,https://nl.linkedin.com/in/carolinevanderplas,https://x.com/lientje1967,https://www.instagram.com/carolinevandplas/,,
BBB,2,Mona Keijzer,V,https://boerburgerbeweging.nl/kandidaten/mona-keijzer/,https://www.linkedin.com/in/mona-keijzer-87019b29/,https://x.com/MonaKeijzer,https://www.instagram.com/monakeijzer/,https://www.facebook.com/MonaKeijzer,
BBB,3,Henk Vermeer,M,,,,,,
BBB,4,Femke Wiersma,V,https://boerburgerbeweging.nl/kandidaten/femke-wiersma/,https://nl.linkedin.com/in/femke-marije-wiersma-47953458,https://x.com/FemkeMarijeW,,,
BBB,5,Claudia van Zanten,V,https://boerburgerbeweging.nl/kandidaten/claudia-van-zanten/,https://www.linkedin.com/in/claudiavanzanten1/,https://x.com/claudiavz,https://www.instagram.com/claudia.vanzanten/,https://www.facebook.com/ClaudiaVanZantenTK/,
BBB,6,Gijs Tuinman,M,,,,,,
BBB,7,Marieke Wijen-Nass,V,https://boerburgerbeweging.nl/kandidaten/marieke-wijen-nass/,https://nl.linkedin.com/in/mariekenass,https://x.com/MariekeWijen,https://www.instagram.com/mariekewijennass/,https://www.facebook.com/MariekeWijenNassBBB/,
BBB,8,Agnes Joseph,V,https://boerburgerbeweging.nl/kandidaten/agnes-joseph/,https://www.linkedin.com/in/agnesjoseph/,https://x.com/Agnes_Joseph_TK,,,
BBB,9,Martin Oostenbrink,M,,,,,,
BBB,10,Alexander Hendriks,M,,,,,,
BBB,11,Christine Govaert,V,https://boerburgerbeweging.nl/kandidaten/christine-govaert/,https://nl.linkedin.com/in/christinegovaert,https://x.com/Chris10Govaert,https://www.instagram.com/christinegovaert/,https://www.facebook.com/p/Christine-Govaert-100090111682852/,https://bsky.app/profile/did:plc:3almittivr7tbrymmfwdm7ye
BBB,12,Robert Tieman,M,,,,,,
BBB,13,Jean Rummenie,M,,,,,,
BBB,14,Eddie van Marum,M,,,,,,
BBB,15,Daniëlle Wiegmans,V,https://boerburgerbeweging.nl/kandidaten/danielle-wiegmans/,https://www.linkedin.com/in/dani%C3%ABlle-wiegmans-27876a160/,https://x.com/daanwiegmans,https://www.instagram.com/daan_wiegmans/,,
BBB,16,Kilian Karsbergen,M,,,,,,
BBB,17,Erik Den Hertog,M,,,,,,
BBB,18,Ines De Ridder,V,https://boerburgerbeweging.nl/kandidaten/ines-de-ridder/,https://www.linkedin.com/in/inesderidder/,,https://www.instagram.com/inesderidder/,,
BBB,19,Haidy Hankers,V,https://boerburgerbeweging.nl/kandidaten/haidy-hankers/,https://www.linkedin.com/in/haidy-hankers-a89695107/,,,,
BBB,20,Marc Sprik,M,,,,,,
BBB,21,Tjalle Morsink,M,,,,,,
BBB,22,Andrea van Veen,V,https://boerburgerbeweging.nl/kandidaten/andrea-van-veen/,,https://x.com/AndreavanVeen,https://www.instagram.com/andreavan_veen/,,
BBB,23,Cees Meeldijk,M,,,,,,
BBB,24,Mies Pabon,V,https://boerburgerbeweging.nl/kandidaten/mies-pabon/,https://www.linkedin.com/in/mies-pabon-0b65319b/,,,https://www.facebook.com/mies.pabon/,
BBB,25,Dirk Buis,M,,,,,,
BBB,26,Jelmer de Groot,M,,,,,,
BBB,27,Joost Olthof,M,,,,,,
BBB,28,Pien Huijbens,V,https://boerburgerbeweging.nl/kandidaten/pien-huijbens/,https://www.linkedin.com/in/pien-huijbens/,,,https://www.facebook.com/pien.huijbens/,
BBB,29,Kevin Brouwer,M,,,,,,
BBB,30,Folkert Stienstra,M,,,,,,
BBB,31,Bram Berg,M,,,,,,
BBB,32,Ward Meijroos,M,,,,,,
BBB,33,Hans Dekker,M,,,,,,
BBB,34,Monique Flipsen-Verhagen,V,https://boerburgerbeweging.nl/kandidaten/monique-flipsen-verhagen/,https://www.linkedin.com/in/monique-flipsen-verhagen-21273a12b/,,,,
BBB,35,Tjerk Zeitsen,M,,,,,,
BBB,36,Jochem Vrugt,M,,,,,,
BBB,37,Ilona Lagas,V,https://boerburgerbeweging.nl/kandidaten/ilona-lagas/,https://www.linkedin.com/in/ilona-lagas-meijer-472a4821,,https://www.instagram.com/ilonalagas.meijer/,https://www.facebook.com/profile.php?id=100008510610547#,
BBB,38,Mark Van de Ven,M,,,,,,
BBB,39,Harold Zoet,M,,,,,,
BBB,40,Annetje Schoolmeesters,V,https://boerburgerbeweging.nl/kandidaten/annetje-schoolmeesters/,https://www.linkedin.com/in/annetjeschoolmeesters/,,,,
BBB,41,Robbert Lievense,M,,,,,,
BBB,42,Harry Schuiling,M,,,,,,
BBB,43,Kor Hoving,M,,,,,,
BBB,44,André Adolfs,M,,,,,,
BBB,45,Ingrid de Sain,V,https://boerburgerbeweging.nl/kandidaten/ingrid-de-sain/,https://www.linkedin.com/in/ingrid-de-sain-808095150/,https://x.com/desainingrid,,,
BBB,46,Abel Kooistra,M,,,,,,
BBB,47,Jelle Beemsterboer,M,,,,,,
BBB,48,Nicole Koks,V,https://boerburgerbeweging.nl/kandidaten/nicole-koks/,https://www.linkedin.com/in/nicole-koks-hofman-02a73885/,,,,
BBB,49,Helma Lodders,V,https://boerburgerbeweging.nl/kandidaten/helma-lodders/,https://www.linkedin.com/in/helmalodders/,https://x.com/helmalodders,https://www.instagram.com/helma_lodders/,https://www.facebook.com/helma.lodders/,
BBB,50,Nicki Pouw-Verweij,V,https://boerburgerbeweging.nl/kandidaten/nicki-pouw-verweij/,https://www.linkedin.com/in/nickipouwverweij/,https://x.com/nickiverweij,https://www.instagram.com/nickiverweij/,,
Belang Van Nederland (BVNL),1,Wybren van Haga,M,,,,,,
Belang Van Nederland (BVNL),2,Dorien Rookmaker,V,https://bvnl.nl/kandidatenlijst/,https://www.linkedin.com/in/dorien-rookmaker-a365542/,https://x.com/rookmakerdorien?lang=en,https://www.instagram.com/dorienrookmakermep?igsh=MWYweXBlYW5qcHFyeQ==,https://www.facebook.com/DorienRookmakerMEP/,
Belang Van Nederland (BVNL),3,Harm Beertema,M,,,,,,
Belang Van Nederland (BVNL),4,Theo Schetters,M,,,,,,
Belang Van Nederland (BVNL),5,René Dercksen,M,,,,,,
Belang Van Nederland (BVNL),6,Vala van den Boomen,V,https://bvnl.nl/kandidatenlijst/,https://www.linkedin.com/in/valavandenboomen/,https://x.com/valavdboomen?lang=en,https://www.instagram.com/valavdboomen?igsh=MW5uMWg3aHd2bWw2cA==,,
Belang Van Nederland (BVNL),7,Geert Dales,M,,,,,,
Belang Van Nederland (BVNL),8,Ab Flipse,M,,,,,,
Belang Van Nederland (BVNL),9,Toine Manders,M,,,,,,
Belang Van Nederland (BVNL),10,Hennie van Schaik,M,,,,,,
Belang Van Nederland (BVNL),11,Erwin Versteeg,M,,,,,,
Belang Van Nederland (BVNL),12,Stefanie Vulders,V,,https://www.linkedin.com/in/stefanievulders/,https://x.com/stefanievulders,https://www.instagram.com/leefalssteef/,https://www.facebook.com/leefalsSteef/mentions/?_rdr,
Belang Van Nederland (BVNL),13,Patrick Schilder,M,,,,,,
Belang Van Nederland (BVNL),14,Meike Terhorst,V,,https://www.linkedin.com/in/meike-terhorst-0564099a/,,,,
Belang Van Nederland (BVNL),15,Mark Bos,M,,,,,,
Belang Van Nederland (BVNL),16,Johan Kosters,M,,,,,,
Belang Van Nederland (BVNL),17,Marcus Rolloos,M,,,,,,
Belang Van Nederland (BVNL),18,Willy Verweij,V,,,,https://www.instagram.com/willy.verweij?igsh=NDJ6NWR1bHM5ZmI4,,
Belang Van Nederland (BVNL),19,Peter Mul,M,,,,,,
Belang Van Nederland (BVNL),20,Rubert Remijn,M,,,,,,
Belang Van Nederland (BVNL),21,Charlotte Marie Mensing,V,,https://www.linkedin.com/in/charlotte-marie-mensing-van-norel-937bba89/,https://x.com/CmMensing,,https://www.facebook.com/people/Charlotte-Marie-Mensing-Belang Van Nederland (BVNL)/100090618247978/,
Belang Van Nederland (BVNL),22,Gerard van Erp,M,,,,,,
Belang Van Nederland (BVNL),23,Iwan Dienjes,M,,,,,,
Belang Van Nederland (BVNL),24,Jaimi Keirouz,V,,,,https://www.instagram.com/jaimikeirouz?igsh=eWx4NHdwa2FjNG9h,,
Belang Van Nederland (BVNL),25,Arjen Schuiling,M,,,,,,
Belang Van Nederland (BVNL),26,Yannick Rietman,M,,,,,,
Belang Van Nederland (BVNL),27,Fabienne Schnetkamp,V,,https://www.linkedin.com/in/fabienne-schnetkamp-a648999/,,,,
Belang Van Nederland (BVNL),28,Elène Toes,V,,,,,,
Belang Van Nederland (BVNL),29,Ingmar Elferink,M,,,,,,
Belang Van Nederland (BVNL),30,Jan Boomsma,M,,,,,,
Belang Van Nederland (BVNL),31,Yasmina Jimenez,V,,https://www.linkedin.com/in/yasmina-j-53a645201/,https://x.com/YasminaJim52786,https://www.instagram.com/jimenez_creations_netherlands/,,
Belang Van Nederland (BVNL),32,Sjef Siemons,M,,,,,,
Belang Van Nederland (BVNL),33,Noël van Keeken,M,,,,,,
Belang Van Nederland (BVNL),34,Pieter Eggermont,M,,,,,,
Belang Van Nederland (BVNL),35,Cees Freeke,M,,,,,,
Belang Van Nederland (BVNL),36,Johan van Leeuwen,M,,,,,,
Belang Van Nederland (BVNL),37,Dirk Moes,M,,,,,,
Belang Van Nederland (BVNL),38,Jan Pieter Verhoog,M,,,,,,
Belang Van Nederland (BVNL),39,Ko Vos,M,,,,,,
Belang Van Nederland (BVNL),40,Meïr Villegas Henriquez,M,,,,,,
Belang Van Nederland (BVNL),41,Paul Bohte,M,,,,,,
Belang Van Nederland (BVNL),42,Bauke Westphal,V,,,,,,
Belang Van Nederland (BVNL),43,Elbert van Dalen,M,,,,,,
Belang Van Nederland (BVNL),44,Wim Huisman,M,,,,,,
