Partij,Naam,Positie (op lijst)
VVD,Peter de Groot,22
VVD,Martijn Buijsse,28
VVD,Erik Haverkort,37
VVD,Hawre Rahimi,44
VVD,Mirjam Nelisse,47
VVD,Yldau de Boer,77
VVD,Maarten van der Weijden,80
CDA,Henri Bontenbal,1
CDA,Eline Vedder,2
CDA,Derk Boswijk,3
CDA,Johan Goos,22
CDA,Yusuf Tuncer,32
CDA,Chantal Broekhuis,33
CDA,Arjen Siegmann,48
PVV,Tony van Dijck,10
PVV,Jan Valize,35
PVV,Gom van Strien,45
CU,Alwin te Rietstap,4
CU,Michel Klein,10
CU,Christian van der Krift,13
CU,Arjan Langen,14
CU,Mark Treurniet,20
CU,Judith Westerink-Petersen,24
CU,Lieuwe van der Pol,36
CU,Bertus Cornelissen,41
CU,Gerben van Dijk,44
CU,Reinier van den Berg,49
Groenlinks-PvdA,Geert Gabriëls,15
Groenlinks-PvdA,Elke Slagt-Tichelman,19
Groenlinks-PvdA,Luc Stultiens,25
Groenlinks-PvdA,Jan Daenen,32
Groenlinks-PvdA,Paul Smits,39
Groenlinks-PvdA,Eva de Bruijn,43
NSC,Pieter Omtzigt,1
NSC,Jesse Six Dijkstra,9
NSC,Femke Zeedijk-Raeven,12
NSC,Rosanne Hertzberger,17
NSC,Diederik Boomsma,21
NSC,Simon Pouwelse,34
NSC,Ronald van Bruchem,37
NSC,Marinus den Hartogh,42
SGP,Chris Stoffer,1
SGP,Maarten Slingerland,13
SGP,Leendert de Knegt,23
SGP,Henk Bulten,32
SGP,Arnold Versteeg,33
SGP,Ruben van Heteren,40
DENK,Omar Fkihi,16
DENK,Cemil Kahramanoğlu,19
DENK,Celil Tan,22
DENK,Nizaam Muradin,28
DENK,Salih Akça,40
D66,Anne-Marijke Podt,4
D66,Lisa van Ginneken,12
D66,Paul van Dorst,31
D66,Gerben Wijnja,32
D66,Hind Dekker-Abdulaziz,46
D66,Linda Ruijs,48
D66,Pepijn Vemer,53
D66,Robbert Dijkgraaf,76
D66,Jan Terlouw,79
BBB,Henk Vermeer,4
BBB,Jean Rummenie,8
BBB,Kees van Vuuren,18
BBB,Erik Stegink,23
BBB,Haidy Hankers,26
BBB,Gerlof Roubos,28
BBB,Marcel Sijbolts,30
BBB,Derk-Evert Waalkens,33
50PLUS,Janwillem van Es,17
FvD,Ralf Dekker,5
FvD,Lidewij de Vos,6
FvD,Massimo Etalle,8
SP,Murat Memiş,16
SP,Lieke van Rossum,28
SP,Hans van Hooft,30
JA21,Hans Kövi,17
JA21,Jorik Bloemenkamp,27
Volt,Sylvia van Laar,14
Volt,Robin Twickler,10
Volt,Valérie Pajak,16
PvdD,Frank Wassenberg,4
PvdD,Kıvılcım Pınar,15
PvdD,Dave de Vos,27
PvdD,Trees Janssens,33
PvdD,Suzanne Onderdelinden,47
