,Lijstnummer,Aanduiding,Positie,Initialen,Roepnaam,Tussenvoegsels,Achternaam,Geslacht,Woonplaats,Stemmen,Verkiezing,Party_WD_id,Qid,Positie_Groningen,Positie_Fryslan,Positie_Drenthe,Positie_Overijssel,Positie_Flevoland,Positie_Nijmegen,Positie_Arnhem,Positie_Utrecht,Positie_Amsterdam,Positie_Haarlem,Positie_Den_Helder,Positie_Den_Haag,Positie_Rotterdam,Positie_Dordrecht,Positie_Leiden,Positie_Zeeland,Positie_Tilburg,Positie_Den_Bosch,Positie_Limburg,Positie_Caribisch_Nederland,Stemmen_Groningen,Stemmen_Fryslan,Stemmen_Drenthe,Stemmen_Overijssel,Stemmen_Flevoland,Stemmen_Nijmegen,Stemmen_Arnhem,Stemmen_Utrecht,Stemmen_Amsterdam,Stemmen_Haarlem,Stemmen_Den_Helder,Stemmen_Den_Haag,Stemmen_Rotterdam,Stemmen_Dordrecht,Stemmen_Leiden,Stemmen_Zeeland,Stemmen_Tilburg,Stemmen_Den_Bosch,Stemmen_Limburg,Stemmen_Caribisch_Nederland,Stemmen_Maastricht,Positie_Maastricht,Stemmen_Venlo,Positie_Venlo,Stemmen_s-Gravenhage,Positie_s-Gravenhage,Stemmen_s-Hertogenbosch,Positie_s-Hertogenbosch,Stemmen_Gelderland,Positie_Gelderland,Stemmen_Noord_Holland,Positie_Noord_Holland,Stemmen_Zuid_Holland,Positie_Zuid_Holland,Stemmen_Noord_Brabant,Positie_Noord_Brabant,Stemmen_Bonaire,Positie_Bonaire,Stemmen_Saba,Positie_Saba,Stemmen_Sint_Eustatius,Positie_Sint_Eustatius,Stemmen_Buitenland,Positie_Buitenland,Stemmen_Den Helder,Positie_Den Helder,Naam,url
0,1.0,Partij van de Arbeid (P.v.d.A.),5.0,I.L.,Iris,,Vrolijks,v,Maassluis,154.0,GR2018Maassluis,Q275441,Q105835857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iris Vrolijks,https://verkiezingsarchief.nl/kandidaten/1r0fgx/Iris_Vrolijks
1,3.0,Partij van de Arbeid (P.v.d.A.),2.0,I.L.,Iris,,Vrolijks,v,Maassluis,335.0,GR2022Maassluis,Q275441,Q105835857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iris Vrolijks,https://verkiezingsarchief.nl/kandidaten/1r0fgx/Iris_Vrolijks
2,1.0,VVD,1.0,R.M.,Rosemarijn,,Dral,v,Oostzaan,697.0,GR2014Oostzaan,Q239333,Q28861099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rosemarijn Dral,https://verkiezingsarchief.nl/kandidaten/h6ld7/Rosemarijn_Dral
3,1.0,VVD,1.0,R.M.,Rosemarijn,,Dral,v,Oostzaan,1190.0,GR2018Oostzaan,Q239333,Q28861099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rosemarijn Dral,https://verkiezingsarchief.nl/kandidaten/h6ld7/Rosemarijn_Dral
4,1.0,VVD,1.0,R.M.,Rosemarijn,,Dral,v,Oostzaan,1169.0,GR2022Oostzaan,Q239333,Q28861099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rosemarijn Dral,https://verkiezingsarchief.nl/kandidaten/h6ld7/Rosemarijn_Dral
5,3.0,Lijst Someren-Heide,1.0,W.C.P.H.,Wim,,Jaspers,m,Someren,291.0,GR2014Someren,,Q117210291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wim Jaspers,https://verkiezingsarchief.nl/kandidaten/1xs81f/Wim_Jaspers
6,4.0,Lijst Someren-Heide,5.0,W.C.P.H.,Wim,,Jaspers,m,Someren,46.0,GR2018Someren,,Q117210291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wim Jaspers,https://verkiezingsarchief.nl/kandidaten/1xs81f/Wim_Jaspers
7,5.0,LSH,11.0,W.C.P.H.,Wim,,Jaspers,m,Someren,35.0,GR2022Someren,,Q117210291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wim Jaspers,https://verkiezingsarchief.nl/kandidaten/1xs81f/Wim_Jaspers
8,5.0,Burger Belangen Moerdijk,4.0,C.J.,Kitty,,Stoop,v,Moerdijk,110,GR2018Moerdijk,,Q123176332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kitty Stoop,https://verkiezingsarchief.nl/kandidaten/21c3gs/Kitty_Stoop
9,7.0,Burger Belangen Moerdijk / BBB Bondgenoot,9.0,C.J.,Kitty,,Stoop,v,Moerdijk,56,GR2022Moerdijk,,Q123176332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kitty Stoop,https://verkiezingsarchief.nl/kandidaten/21c3gs/Kitty_Stoop
10,1.0,Staatkundig Gereformeerde Partij (SGP),3.0,P.N.,Nathanaël,,Middelkoop,m,Urk,188.0,GR2018Urk,Q60172,Q123173957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nathanaël Middelkoop,https://verkiezingsarchief.nl/kandidaten/21c1mt/Nathanaël_Middelkoop
11,4.0,Staatkundig Gereformeerde Partij (SGP),1.0,P.N.,Nathanaël,,Middelkoop,m,Urk,1398.0,GR2022Urk,Q60172,Q123173957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nathanaël Middelkoop,https://verkiezingsarchief.nl/kandidaten/21c1mt/Nathanaël_Middelkoop
12,9.0,Forum voor Democratie,10.0,T.H.P.,,,Baudet,,Amsterdam,93.0,GR2022Urk,Q28163962,Q4462875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thierry Baudet,https://verkiezingsarchief.nl/kandidaten/2nnkr/Thierry_Baudet
13,8.0,SP (Socialistische Partij),1.0,X.M.,Xander,,Topma,,Meppel,983.0,GR2014Meppel,Q849580,Q123176087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xander Topma,https://verkiezingsarchief.nl/kandidaten/21c39z/Xander_Topma
14,6.0,SP (Socialistische Partij),1.0,X.M.,Xander,,Topma,m,Meppel,623.0,GR2018Meppel,Q849580,Q123176087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xander Topma,https://verkiezingsarchief.nl/kandidaten/21c39z/Xander_Topma
15,5.0,SP (Socialistische Partij),1.0,X.M.,Xander,,Topma,m,Meppel,634.0,GR2022Meppel,Q849580,Q123176087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xander Topma,https://verkiezingsarchief.nl/kandidaten/21c39z/Xander_Topma
16,3.0,Democraten 66 (D66),4.0,M.,Mahjoub,,Mathlouti,m,Voorburg,201.0,GR2018Leidschendam-Voorburg,Q747910,Q105750192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mahjoub Mathlouti,https://verkiezingsarchief.nl/kandidaten/1qyldc/Mahjoub_Mathlouti
17,4.0,D66,2.0,M.,Mahjoub,,Mathlouti,m,Leidschendam-Voorburg,290.0,GR2022Leidschendam-Voorburg,,Q105750192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mahjoub Mathlouti,https://verkiezingsarchief.nl/kandidaten/1qyldc/Mahjoub_Mathlouti
18,9.0,PVV (Partij voor de Vrijheid),3.0,J.J.T.M.,Jan,,Valize,m,Venlo,167,GR2018Venlo,Q332739,Q123176048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jan Valize,https://verkiezingsarchief.nl/kandidaten/21c38w/Jan_Valize
